CurieDialog_Generic_01	Você é um espécime tão fascinante.
CurieDialog_Generic_02	Ah, estou vivendo num Vault mais uma vez. Assim é a vida...
CurieDialog_Generic_03	Não desperdice oportunidades de provocar uma mudança positiva.
CurieDialog_Generic_04	Posso ajudar?
CurieDialog_Generic_05	O que foi?
CurieDialog_Generic_06	Você precisa de algo?
CurieDialog_Generic_07	Sobre o que vamos conversar?
CurieDialog_Generic_08	Posso ajudar com alguma coisa?
CurieDialog_Generic_09	Boa noite! Estou ao seu dispor.
CurieDialog_Generic_10	Eu queria que houvesse luz do sol no Vault.
CurieDialog_Generic_11	Você precisa de assistência médica?
CurieDialog_Generic_12	Alguém gostaria de dar um passeio lá fora? Tomar um ar fresco?
CurieDialog_Generic_13	Há sempre muito o que fazer. Mas tudo que eu quero fazer é pesquisar.
CurieDialog_Generic_14	Sou uma cientista, mas agora faço tarefas. Talvez eu possa automatizá-las...
CurieDialog_Generic_15	Se tiver algum problema com o meu serviço, fale com o Supervisor.
CurieDialog_Generic_16	Bom dia! Ou será que é de noite?
CurieDialog_Generic_17	Este Vault é muito mais funcional que o meu lar anterior.
CurieDialog_Generic_18	O Vault tem uma tecnologia verdadeiramente incrível.
CurieDialog_Generic_19	É tão confinado aqui. Acho que vou me distrair com o trabalho.
CurieDialog_Generic_20	Se ao menos pudéssemos todos viver lá fora. Mas também não é muito agradável por lá.
CurieDialog_Generic_21	Você está bem? Posso te trazer algo?
CurieDialog_Generic_22	Alguém gostaria de ser cobaia pra mim? Prometo que nenhum mal vai te acontecer! Eu espero...
CurieDialog_Generic_23	Bem-vindo ao seu Vault! É muito bom, pra um Vault.
CurieDialog_Generic_24	Por que não usamos escadas no Vault? Seria muito mais saudável pros nossos Moradores.
CurieDialog_Generic_25	Se alguém precisar de um check-up, estou aqui pra isso!
CurieDialog_Wasteland_1	É um prazer tão grande viajar.
CurieDialog_Wasteland_2	Eu adoro viajar. É muito satisfatório.
CurieDialog_Wasteland_3	As capacidades ofensivas desta Garra-da-Morte são bastante avançadas.
CurieDialog_Wasteland_4	Será que ninguém neste Ermo tem mais modos?
CurieDialog_Wasteland_5	Você deve saber que, lamentavelmente, sou bastante habilidosa no uso da violência.
CurieDialog_Wasteland_6	Ah, nada de bom pode vir disto.
CurieDialog_Wasteland_7	Um humano ferido! Vou administrar primeiros socorros e estabilizadores de trauma...
CurieDialog_Wasteland_8	Tenho tantos dados! Vou ter muito o que fazer quando chegar em casa.
CurieDialog_Wasteland_9	O povo aqui fora parece muito ávido por violência, não?
CurieDialog_Wasteland_10	Tantas pessoas, e tanta tecnologia, perdidas.
CurieDialog_Wasteland_11	E lá vamos nós com a matança de novo... *suspiro*
CurieDialog_Wasteland_12	Isto é curioso. Barcos não deveriam estar na água?
CurieDialog_Wasteland_13	Navegar pelo Ermo é tão complicado. Será que existe algum tipo de manual pra isto?
CurieDialog_Wasteland_14	Liberdade, finalmente.
CurieDialog_Wasteland_15	Aqui fora, posso estudar algumas das espécies nativas!
CurieDialog_Wasteland_16	Olhe! No céu! Será que é o que chamamos de OVNI?
CurieDialog_Wasteland_17	Detecto inimigos. Receio que devo neutralizá-los.
CurieDialog_Wasteland_18	Encontrei uma caixa de... Power Noodles? Parece bem nutritivo.
CurieDialog_Wasteland_19	Ah, um Mr. Handy! Mas acho que este robô está quebrado.
CurieDialog_Wasteland_20	Um Rato-toupeira. Que espécime fascinante!
CurieDialog_Wasteland_21	Um Super Mutante! Então é disto que o Vírus de Evolução Forçada é capaz. Incrível.
CurieDialog_Wasteland_22	Que lugar fascinante.
CurieDialog_Wasteland_23	Que lugar estranho pra uma pedreira.
CurieDialog_Wasteland_24	Aqueles Ghouls eram tão agressivos! São o que as pessoas chamam de "selvagens"?
CurieDialog_Wasteland_25	Onde está todo mundo?
CurieDialog_Wasteland_26	Ah, olhe, um parque.
CurieDialog_Wasteland_27	Saqueadores! Não parece que vão negociar. Serei forçada a usar violência de novo. Que desperdício de vida.
CurieDialog_Wasteland_28	Amostra coletada. Suspeito que sejam carnes parcialmente digeridas e outra matéria biológica.
CurieDialog_Wasteland_29	Encontrei um cadáver! Vou parar um pouco pra estudá-lo.
CurieDialog_Wasteland_30	Acredito que aquilo seja um Yao Guai. A visão deles deve provocar uma enorme resposta de medo nos humanos.
CurieDialog_Wasteland_31	Minha nossa, isto é uma Armadura Energizada! É uma maravilha tecnológica. Pena que esta está quebrada.
CurieDialog_Wasteland_32	Vejo um Radcervo. Fico imaginando, com duas cabeças, será que ele pode discordar de si mesmo?
CurieDialog_Wasteland_33	Acredito que agora é um bom momento pra ir pro Norte.
CurieDialog_Wasteland_34	Acredito que agora é um bom momento pra ir pro Leste.
CurieDialog_Wasteland_35	Acredito que agora é um bom momento pra ir pro Oeste.
CurieDialog_Wasteland_36	Acredito que agora é um bom momento pra ir pro Sul.
CurieDialog_Wasteland_37	Estou indo pro Norte já faz um tempo. Vou continuar.
CurieDialog_Wasteland_38	Estou indo pro Leste já faz um tempo. Vou continuar.
CurieDialog_Wasteland_39	Estou indo pro Oeste já faz um tempo. Vou continuar.
CurieDialog_Wasteland_40	Estou indo pro Sul já faz um tempo. Vou continuar.
CurieDialog_Wasteland_41	Umas Radobaratas estão se aproximando. Infelizmente, devo esmagá-las.
CurieDialog_Wasteland_42	Tem algo vil se aproximando. Consigo ouvir um rastejar.
CurieDialog_Wasteland_43	Acabei de encontrar um grupo de comerciantes com um Brahmin enorme. É uma criatura maravilhosa!
CurieDialog_Wasteland_44	Ei, tire as mãos de mim! Eu não sou sucata!
CurieDialog_Wasteland_45	Encontrei um campo de minas de fragmentação. É horrível, de quantas formas os humanos matam uns aos outros.
CurieDialog_Wasteland_46	Uma garrafa de álcool. Fico imaginando por que os humanos são tão atraídos por este veneno.
CurieDialog_Wasteland_47	Olhe quantos carros! Será que algum deles vai voltar a andar um dia?
CurieDialog_Wasteland_48	Eles chamam minha inteligência de artificial, mas acredito que sou mais esperta que a maioria das pessoas aqui fora.
CurieDialog_Wasteland_49	Uma fazenda! Uma fazenda de verdade, em atividade! Isto me enche de esperança. Talvez a civilização possa florescer de novo.
CurieDialog_Wasteland_50	Descobri uma casinha com uma mulher em trabalho de parto. Acredito que talvez tenha ajudado a salvar a vida da mãe.
CurieDialog_WeaponsWorkshop_01	Instrumentos de assassinato e destruição. Por que precisamos fazê-los aqui?
CurieDialog_OutfitWorkshop_01	Eu adoro esta sala! Roupa é arte e função. Que jeito melhor de passar o tempo?
CurieDialog_Armory_01	Acho que é aqui que aprendemos a atirar melhor uns nos outros.
CurieDialog_Athletics_01	Eu não fazia ideia de que os humanos eram capazes destes movimentos!
CurieDialog_Bar_01	Com licença, monsieur, eu gostaria de uma bebida.
CurieDialog_Cafeteria_01	Farei o meu melhor pra oferecer uma refeição balanceada. Mesmo com ingredientes tão... inferiores.
CurieDialog_Classroom_01	Acalmem-se, turma! É hora da aula!
CurieDialog_Classroom_02	Sobre o que devemos aprender primeiro? Diagnóstico? Bioquímica?
CurieDialog_Fitness_01	Manter o corpo forte é uma das melhores formas de se manter saudável!
CurieDialog_GameRoom_01	Jogos de azar? Que benefício isto traz à humanidade?
CurieDialog_GameRoom_02	Posso tentar jogar os dados? Talvez eu entenda seu propósito se participar da atividade.
CurieDialog_Gym_01	Sempre treine com um parceiro, pra reduzir o risco de lesão!
CurieDialog_Gym_02	Lembre-se de alongar antes e depois do treino.
CurieDialog_Hydroponics_01	Ah! A cor desta sala é tão espetacular! Eu gostaria de ficar aqui pra sempre.
CurieDialog_LivingQuarters_01	Por favor, lembre-se, um sono adequado é a coisa mais importante pra saúde mental!
CurieDialog_LivingQuarters_02	Disseram-me que dançar é um exercício muito bom.
CurieDialog_Medbay_01	Meus Stimpaks passaram por um extenso controle de qualidade. Gostaria de um?
CurieDialog_Medbay_02	Você precisa de um Stimpak? Fiz alguns extras.
CurieDialog_Nuka Cola_01	Alguns estudos mostram que beber Nuka-Cola pode criar um hábito extremo. Beirando o vício.
CurieDialog_PowerGenerator_01	Estas máquinas são verdadeiramente maravilhosas.
CurieDialog_RadioStation_01	Por favor, me avise se quiser uma entrevista comigo. Sou especialista médica e científica!
CurieDialog_Reactor_01	A energia desta sala é impressionante. Consigo senti-la nos meus circuitos!
CurieDialog_ScienceLab_01	Desde que as bombas caíram, certamente houve avanços científicos, não?
CurieDialog_ScienceLab_02	Fiz alguns remédios pra você. Se quiser.
CurieDialog_StorageRoom_01	Os humanos são tão fixados em posses que dedicam salas inteiras a acumulá-las.
CurieDialog_WaterPlant_01	Farei o meu melhor pra garantir a mais alta qualidade da água pros nossos Moradores!
CurieDialog_WaterPurification_01	É incrível como criamos água pura e limpa a partir de... outros líquidos.
MrHandyDialog_Armory_01	Ai, ai. Espero sinceramente que todo esse poder de fogo seja só pra exibição.
MrHandyDialog_Armory_02	Ai, ai. Espero sinceramente que todo esse poder de fogo seja só pra exibição.
MrHandyDialog_Athletics_01	Eu nunca entendi o conceito de pernas, ou de mexê-las. Pelo amor de Deus, humanos... FLUTUEM.
MrHandyDialog_Athletics_02	Eu nunca entendi o conceito de pernas, ou de mexê-las. Pelo amor de Deus, humanos... FLUTUEM.
MrHandyDialog_Bar_01	Alguém quer um drinque?
MrHandyDialog_Bar_02	Relaxem, humanos. Não, não. Tudo bem. Eu, abnegado, atendo a cada necessidade de vocês...
MrHandyDialog_Cafeteria_01	BlamCo? Cram? InstaMash? E os humanos realmente curtem essa porcaria?
MrHandyDialog_Cafeteria_02	Graças aos Céus a General Atomics International me poupou da ameaça da náusea. E da obesidade.
MrHandyDialog_Classroom_01	Ahhh, educação. A única coisa que nunca podem realmente tirar de você.
MrHandyDialog_Classroom_02	Ahhh, educação. A única coisa que nunca podem realmente tirar de você.
MrHandyDialog_Fitness_01	Ah, cardio. Conceito fascinante.
MrHandyDialog_Fitness_02	Ah, cardio. Conceito fascinante.
MrHandyDialog_GameRoom_01	Hmpf. Só quero ver esses humanos tentarem bater meu recorde no Ameaça Vermelha...
MrHandyDialog_GameRoom_02	Hmpf. Só quero ver esses humanos tentarem bater meu recorde no Ameaça Vermelha...
MrHandyDialog_Generic_01	Se os humanos estão felizes, eu estou feliz. Juro.
MrHandyDialog_Generic_02	Tantos humanos, tão pouco tempo.
MrHandyDialog_Generic_03	Sepultado em aço frio e implacável. É o Paraíso dos robôs.
MrHandyDialog_Generic_04	Meu reino por um banho de óleo...
MrHandyDialog_Generic_05	Se eu falei uma vez, falei mil vezes. NADA. DE PEDICURE.
MrHandyDialog_Generic_06	Faça isto, faça aquilo. Mas será que recebo um "obrigado"? Nãããoo...
MrHandyDialog_Generic_07	Sim, Supervisor, eu sei que está observando. Estou trabalhando o mais rápido que posso, caramba...
MrHandyDialog_Generic_08	Eu sou um robô modelo Mister Handy. O orgulho da General Atomics International!
MrHandyDialog_Generic_09	Não passa um dia em que eu não me regozije na servidão à humanidade.
MrHandyDialog_Generic_10	Viver pra servir, servir pra viver...
MrHandyDialog_Generic_11	Já vou, já vou! Estou com você num instante!
MrHandyDialog_Generic_12	Não me chamam de Mister Handy à toa.
MrHandyDialog_Generic_13	Olá, humanos. Mister Handy aqui, pronto pra atender a cada capricho de vocês!
